iter	RMSE
0	1019.267145
1	1004.618935
2	990.7561238
3	976.8997746
4	963.8158094
5	950.184241
6	938.8926443
7	927.7953557
8	917.4111608
9	906.0083756
10	895.0902168
11	883.8358438
12	874.0297284
13	863.5326541
14	852.5584902
15	844.3587853
16	836.1481711
17	828.9057132
18	820.8111953
19	812.9322477
20	804.3962436
21	796.9976292
22	789.9995741
23	781.6995388
24	774.6838806
25	767.6025984
26	761.4081497
27	754.899517
28	747.1261442
29	740.4005553
30	734.8074859
31	728.5573291
32	722.986167
33	717.3658476
34	712.5094038
35	706.7384064
36	702.4476714
37	698.0010949
38	694.0453829
39	689.925341
40	684.8168894
41	680.3227609
42	675.3191071
43	671.6992642
44	668.2978172
45	663.9832547
46	659.9053552
47	656.6521076
48	652.767536
49	649.1149441
50	645.5453249
51	641.5983748
52	638.491674
53	635.5956362
54	632.7546972
55	628.9826763
56	625.254956
57	622.6326323
58	620.4420992
59	617.4505344
60	614.8931921
61	611.4013386
62	608.1206674
63	605.6904884
64	603.643911
65	601.2932378
66	598.9139805
67	596.7330191
68	594.9001457
69	592.7666537
70	590.553349
71	589.2032058
72	586.955787
73	584.937946
74	583.2299709
75	581.22013
76	579.3239641
77	577.0413373
78	575.1518239
79	573.5081112
80	571.940913
81	570.195104
82	568.9560278
83	567.5934371
84	566.1794407
85	564.4210112
86	562.9261564
87	561.1963628
88	559.3203458
89	557.9045769
90	556.1327052
91	555.4481867
92	554.0413701
93	553.2289367
94	552.1250415
95	550.5588014
96	548.4600921
97	546.6174177
98	545.7372976
99	544.6068542
100	543.7674876
101	542.5355235
102	541.2691985
103	539.6349745
104	537.4955656
105	536.1542286
106	534.3622919
107	533.4147976
108	531.7155657
109	530.856439
110	529.3542522
111	528.4971848
112	527.5179188
113	526.6894706
114	526.1369643
115	524.7501254
116	523.3478664
117	522.2996748
118	520.7868444
119	520.0954307
120	519.5062924
121	518.0248665
122	517.4022353
123	516.6177916
124	515.969763
125	515.0646525
126	513.6822663
127	513.1222487
128	512.7617329
129	511.7088235
130	510.2295613
131	509.2134139
132	508.300241
133	507.5780321
134	506.2190183
135	505.3468857
136	504.4506401
137	503.7151063
138	502.9025981
139	502.4207012
140	501.6027988
141	500.6398345
142	500.2156554
143	499.0693236
144	497.8367028
145	497.2155523
146	496.7413471
147	495.7733914
148	494.7876642
149	493.9256608
150	492.9764283
151	492.1152871
152	491.165961
153	490.8064674
154	489.6900514
155	489.1560952
156	488.404288
157	487.1941477
158	486.2405529
159	485.2197188
160	484.0901492
161	483.099293
162	482.7564374
163	481.9042875
164	481.2933318
165	480.6414508
166	479.7068433
167	478.7253317
168	478.0281343
169	477.2288457
170	476.4379661
171	475.7299566
172	475.3697161
173	474.647665
174	474.1260305
175	473.3798956
176	472.4398266
177	471.3850531
178	470.8793187
179	469.8311298
180	469.1564776
181	468.8104752
182	467.9813825
183	467.5268191
184	466.967665
185	466.1181542
186	465.7722706
187	465.5166648
188	464.976874
189	464.5663185
190	463.6937843
191	463.1351213
192	462.3838303
193	462.0170242
194	461.3378904
195	460.6237144
196	460.3365511
197	459.6497026
198	459.2334796
199	458.6790781
200	458.4257045
201	458.1409325
202	457.5994752
203	456.9165721
204	456.6029653
205	455.9802544
206	455.4739964
207	454.8894924
208	454.3682601
209	454.0304334
210	453.4516266
211	452.8872661
212	452.5805363
213	451.9876676
214	451.342183
215	451.0760889
216	450.8400682
217	450.5743323
218	450.0802055
219	449.5075094
220	448.888784
221	448.3318883
222	447.706287
223	447.141724
224	446.5436514
225	446.2885554
226	445.8327956
227	445.2500407
228	445.0605539
229	444.5586716
230	444.3109618
231	444.0004137
232	443.7496112
233	443.2305937
234	442.6607374
235	442.1565872
236	441.9475037
237	441.6952997
238	441.2475059
239	440.7496871
240	440.340513
241	439.9092946
242	439.4153715
243	438.9033018
244	438.784306
245	438.2311445
246	437.7358031
247	436.7920074
248	436.1861813
249	435.7429852
250	435.083353
251	434.7985321
252	434.0575025
253	433.773203
254	433.4879108
255	433.115736
256	432.825969
257	432.5429917
258	431.8392858
259	431.5835382
260	430.9840084
261	430.5127191
262	430.1193457
263	429.6807099
264	429.3993378
265	429.0585967
266	429.0366224
267	428.5668937
268	428.1534982
269	427.4015955
270	426.7074768
271	426.4094897
272	426.1532549
273	425.925436
274	425.4802254
275	425.2570904
276	424.9567944
277	424.6598931
278	424.4092126
279	424.1348797
280	423.8578402
281	423.4273595
282	423.0510441
283	422.614478
284	422.3911208
285	422.1768963
286	421.8689159
287	421.6187148
288	421.3349767
289	420.7776589
290	420.348538
291	419.986968
292	419.5730278
293	419.5557259
294	419.3227625
295	418.7038079
296	418.4582409
297	418.0241613
298	417.7872175
299	417.5288632
300	417.2662328
301	417.0489072
302	416.7819942
303	416.1349499
304	415.586744
305	415.2250488
306	414.9009366
307	414.6606463
308	414.1853814
309	413.9069271
310	413.6530749
311	413.4375844
312	413.2105439
313	412.7897614
314	412.5735764
315	412.1860163
316	411.8235517
317	411.1755149
318	410.7927857
319	410.3680405
320	410.1660271
321	409.9373161
322	409.4677981
323	409.0901797
324	408.8770861
325	408.7018038
326	408.3482193
327	408.1187769
328	407.6708972
329	407.4510494
330	407.2472687
331	406.8134252
332	406.5006225
333	406.2802022
334	405.5442528
335	405.0016407
336	404.6634272
337	404.2598943
338	403.9138257
339	403.7009742
340	403.4973566
341	403.3065021
342	402.894346
343	402.8821775
344	402.6888275
345	402.4962888
346	402.0221702
347	401.8319821
348	401.5521545
349	401.3626129
350	401.1602786
351	400.5459566
352	399.9988748
353	399.8157311
354	399.3613154
355	398.8697435
356	398.3703257
357	398.2205772
358	397.8737792
359	397.7185704
360	397.329642
361	396.8779755
362	396.7023205
363	396.5132896
364	396.3217926
365	395.8969343
366	395.712115
367	395.3806073
368	394.88329
369	394.7146046
370	394.3559537
371	394.2519383
372	394.0702496
373	393.6741049
374	393.4953514
375	392.7997842
376	392.6383039
377	392.4783054
378	392.3042528
379	392.152058
380	392.0599274
381	391.7760763
382	391.3203018
383	390.6206969
384	390.1731673
385	389.8054969
386	389.6317394
387	389.4784646
388	389.0883048
389	388.6452688
390	388.065607
391	387.6971153
392	387.5439641
393	387.4060609
394	387.3844706
395	386.9009284
396	386.7747093
397	386.4235917
398	386.2708869
399	386.0825328
400	385.9326337
401	385.7712943
402	385.3962792
403	384.8288135
404	384.6815398
405	384.2347259
406	384.0898957
407	383.6225092
408	383.4656325
409	382.9438988
410	382.3428041
411	381.9426955
412	381.7996938
413	381.6607048
414	381.5085628
415	381.1792726
416	381.0407127
417	380.498698
418	380.3602188
419	380.1291541
420	379.9451688
421	379.5313498
422	379.322341
423	378.9979273
424	378.851893
425	378.6038469
426	377.9288807
427	377.5890748
428	377.1691329
429	376.8131524
430	376.6817586
431	376.2649953
432	375.8431842
433	375.4061254
434	374.9335805
435	374.8183315
436	374.6891101
437	374.382334
438	374.0868332
439	373.9487365
440	373.6277138
441	373.2449893
442	373.1404785
443	372.8658641
444	372.5817537
445	372.1497617
446	371.819484
447	371.7176004
448	371.5967345
449	371.4824921
450	371.3614461
451	370.9536776
452	370.7161854
453	370.5818519
454	370.1081599
455	369.7035982
456	369.2248094
457	369.1297291
458	369.0193911
459	368.6665533
460	368.3359791
461	368.1419441
462	367.8673818
463	367.6348045
464	367.5188403
465	367.2940925
466	366.9821116
467	366.7096775
468	366.5934829
469	366.2753223
470	365.980451
471	365.7374075
472	365.6104722
473	365.489866
474	365.1049486
475	364.6754404
476	364.2202521
477	364.1202946
478	363.9941322
479	363.8838305
480	363.7772581
481	363.5117484
482	363.1755354
483	363.0661299
484	362.6340564
485	362.2113021
486	362.1028233
487	361.730162
488	361.5069352
489	361.2579099
490	360.9074153
491	360.8222077
492	360.715714
493	360.2882483
494	360.182605
495	359.7000552
496	359.5132322
497	359.2205265
498	359.0326631
499	358.3750568
500	358.270964
501	358.1679405
502	358.0839592
503	357.9689655
504	357.6752905
505	357.5750114
506	357.3939113
507	356.9781434
508	356.3413367
509	355.9974972
510	355.897614
511	355.6167392
512	355.5179326
513	355.0407391
514	354.942509
515	354.6919769
516	354.5952507
517	354.3812329
518	354.285469
519	354.2732584
520	353.6674424
521	353.5406151
522	353.4454878
523	353.3762019
524	352.9440527
525	352.6343058
526	352.2786257
527	352.1188446
528	351.882667
529	351.6078339
530	351.4299354
531	351.1718711
532	351.0818647
533	350.7992265
534	350.525801
535	350.514383
536	350.2800474
537	349.8694223
538	349.7966113
539	349.7043025
540	349.1378546
541	348.9563839
542	348.7169989
543	348.646728
544	348.466288
545	348.3738843
546	348.1763573
547	347.9365669
548	347.6778647
549	347.5595277
550	347.286538
551	346.9507673
552	346.7178045
553	346.1308365
554	345.576173
555	345.4869372
556	345.2696235
557	344.9351511
558	344.6335604
559	344.4250324
560	344.1018915
561	343.9573094
562	343.691576
563	343.3024323
564	343.0641467
565	342.7652466
566	342.3885649
567	341.9583087
568	341.6934127
569	341.3241779
570	341.0411454
571	340.7117094
572	340.3574456
573	339.8435901
574	339.5331978
575	339.4414929
576	339.2318417
577	338.9396724
578	338.6762458
579	338.6081358
580	338.5243292
581	338.4496426
582	337.9890341
583	337.7742593
584	337.4527373
585	337.3655389
586	337.2708673
587	336.8134589
588	336.49006
589	336.3410901
590	336.1720449
591	336.0174391
592	335.6505104
593	335.5696763
594	335.382037
595	335.1353161
596	335.0539266
597	334.6804363
598	334.6178669
599	334.2248512
600	334.1337236
601	333.8874747
602	333.8092077
603	333.7409579
604	333.6679172
605	333.3652492
606	333.0842203
607	333.0279089
608	332.776261
609	332.5454895
610	332.269661
611	331.9952959
612	331.6000325
613	331.4076375
614	331.1867967
615	331.0477924
616	330.6982146
617	330.489761
618	330.2502108
619	330.1051847
620	329.9414384
621	329.7667263
622	329.4240644
623	329.2282182
624	329.0696592
625	328.886306
626	328.6075904
627	328.4011129
628	328.1119101
629	327.9536819
630	327.7331364
631	327.5778505
632	327.4135554
633	327.2461545
634	327.0504279
635	326.5742788
636	326.3638039
637	326.0183697
638	325.7268989
639	325.6397302
640	325.5712943
641	325.3549141
642	324.9559448
643	324.5799919
644	324.3103866
645	324.2416005
646	324.1840233
647	323.9895031
648	323.9125816
649	323.7258754
650	323.6509468
651	323.5847558
652	323.3616408
653	323.1461525
654	322.6846808
655	322.6050653
656	322.5236811
657	322.4573475
658	322.2382468
659	322.1673955
660	321.8760966
661	321.6320132
662	321.3797525
663	321.2199708
664	321.1608162
665	320.8594784
666	320.6338737
667	320.5576629
668	320.4832953
669	320.4051738
670	320.2394892
671	320.0186292
672	319.9451584
673	319.8923197
674	319.7238927
675	319.6591912
676	319.596957
677	319.5232198
678	319.4542026
679	319.3884655
680	319.1988523
681	319.0723257
682	318.8537032
683	318.7936991
684	318.6534322
685	318.387056
686	318.1568226
687	318.0924857
688	318.0223497
689	317.9624164
690	317.6064867
691	317.5472473
692	317.2311101
693	316.9896579
694	316.7557486
695	316.6147032
696	316.3273485
697	316.1977431
698	316.0405731
699	315.6305926
700	315.5706165
701	315.437393
702	315.1818031
703	314.9689571
704	314.9113587
705	314.6477012
706	314.5010355
707	314.4431017
708	314.2110049
709	314.1519611
710	313.8865231
711	313.700979
712	313.5042585
713	313.4455225
714	313.0342259
715	312.729461
716	312.6852567
717	312.6275379
718	312.3286432
719	312.0331252
720	311.9055628
721	311.7763384
722	311.6566596
723	311.3056628
724	311.243954
725	311.1138608
726	310.949536
727	310.6966845
728	310.532317
729	310.2856674
730	310.2316278
731	309.9793087
732	309.7432391
733	309.5485516
734	309.4952898
735	309.428395
736	309.3686475
737	309.3157669
738	309.1392955
739	308.9994423
740	308.9393834
741	308.886663
742	308.5959703
743	308.2664595
744	308.0366501
745	307.9768858
746	307.8290362
747	307.5700581
748	307.4065624
749	307.1733374
750	307.0166419
751	306.7553736
752	306.5670327
753	306.3321324
754	306.2817882
755	306.071454
756	306.0240129
757	305.7489977
758	305.6045508
759	305.2576839
760	305.1414001
761	304.8896973
762	304.7212953
763	304.581548
764	304.5315099
765	304.3136464
766	304.2591111
767	304.0415104
768	303.9901787
769	303.7784506
770	303.6040713
771	303.5534848
772	303.5030564
773	303.3920713
774	303.1294653
775	303.0736966
776	302.8995948
777	302.7818479
778	302.6632939
779	302.3660763
780	302.3318041
781	302.1123721
782	302.0045645
783	301.6962648
784	301.6470514
785	301.5902448
786	301.5386127
787	301.3264891
788	301.1103913
789	301.0787635
790	300.8769281
791	300.6350181
792	300.5940621
793	300.3061205
794	300.0677625
795	299.9042279
796	299.8432961
797	299.7982435
798	299.4630816
799	299.1443326
800	298.8786317
801	298.6413181
802	298.3769626
803	298.2096093
804	297.915381
805	297.8691209
806	297.5525679
807	297.3102271
808	297.277316
809	297.0826497
810	297.0374877
811	296.8085731
812	296.6804283
813	296.6308686
814	296.5930791
815	296.520029
816	296.2441676
817	296.1261949
818	296.0445481
819	296.0110924
820	295.9677171
821	295.8423583
822	295.7342548
823	295.685647
824	295.4463685
825	295.2432465
826	294.9398638
827	294.8341176
828	294.6497973
829	294.4198339
830	294.3784824
831	294.2580528
832	294.0092363
833	293.9631301
834	293.7769936
835	293.5417853
836	293.3267758
837	293.166628
838	293.0418431
839	292.9214105
840	292.7501012
841	292.70536
842	292.6055675
843	292.5342955
844	292.3422757
845	292.3020002
846	292.2469889
847	292.2085475
848	292.0269419
849	292.0065243
850	291.7887821
851	291.758768
852	291.5854522
853	291.4202297
854	291.198804
855	290.9864285
856	290.7063423
857	290.4912471
858	290.2892627
859	290.2055689
860	289.9397234
861	289.7883813
862	289.6688775
863	289.5521949
864	289.4422787
865	289.410372
866	289.1554787
867	288.9239318
868	288.7706435
869	288.6777059
870	288.5769981
871	288.5388768
872	288.4212351
873	288.3747958
874	288.1790084
875	288.0922885
876	287.9245644
877	287.828287
878	287.7128511
879	287.3999524
880	287.3456159
881	287.167616
882	287.0187615
883	286.957314
884	286.8067115
885	286.7770881
886	286.7185094
887	286.6260609
888	286.4276726
889	286.2984794
890	286.0694832
891	286.0304172
892	285.938161
893	285.762012
894	285.6819419
895	285.585243
896	285.4070818
897	285.1159889
898	285.0403763
899	284.7782277
900	284.5774331
901	284.5411983
902	284.437101
903	284.3306405
904	284.1362313
905	284.0193534
906	283.8475507
907	283.7232022
908	283.6197775
909	283.5865385
910	283.3520014
911	283.0662882
912	283.0258889
913	282.9455307
914	282.7983002
915	282.7492789
916	282.7142598
917	282.6807761
918	282.5339465
919	282.3197707
920	282.0867854
921	282.0596879
922	281.9585635
923	281.9204696
924	281.8748622
925	281.7274823
926	281.555035
927	281.2996731
928	281.1340545
929	281.0121393
930	280.9708107
931	280.8329167
932	280.5938321
933	280.4245063
934	280.2967962
935	280.1332471
936	280.0948328
937	280.0590184
938	279.8995022
939	279.7448729
940	279.6435449
941	279.5064583
942	279.2633176
943	279.0647745
944	278.8360813
945	278.6949679
946	278.4636347
947	278.3909528
948	278.1769483
949	278.1484132
950	278.0870431
951	278.0151127
952	277.958031
953	277.8966562
954	277.8691905
955	277.8387247
956	277.5917351
957	277.4006703
958	277.0675626
959	277.040037
960	276.862883
961	276.733882
962	276.5089924
963	276.4493317
964	276.2013477
965	276.1744432
966	276.1684848
967	276.10949
968	275.9546651
969	275.7868071
970	275.6480695
971	275.6098191
972	275.4824858
973	275.3795662
974	275.2362822
975	274.9240186
976	274.7454723
977	274.5936355
978	274.5387567
979	274.4367498
980	274.3489913
981	274.3137848
982	274.0764403
983	273.8604171
984	273.6632839
985	273.4599837
986	273.4291985
987	273.2419753
988	273.1770166
989	273.0543974
990	273.0014993
991	272.7969717
992	272.7044583
993	272.5413783
994	272.3663906
995	272.2240412
996	272.0763294
997	271.9413604
998	271.8770548
999	271.6254759
1000	271.4508765
1001	271.3743689
1002	271.1910284
1003	271.1179551
1004	271.0604981
1005	270.9577158
1006	270.8866766
1007	270.7081925
1008	270.6860196
1009	270.510973
1010	270.3623878
1011	270.3304252
1012	270.1956657
1013	269.9865647
1014	269.8476131
1015	269.6866575
1016	269.5301563
1017	269.5241683
1018	269.3787566
1019	269.1509984
1020	268.875269
1021	268.7189409
1022	268.6632369
1023	268.5956721
1024	268.4540095
1025	268.4158562
1026	268.3129585
1027	268.1781563
1028	268.0112695
1029	267.8488035
1030	267.6371436
1031	267.6115657
1032	267.5262662
1033	267.2764848
1034	267.1277127
1035	266.9856327
1036	266.9122591
1037	266.8534816
1038	266.8190974
1039	266.7203978
1040	266.656858
1041	266.6302756
1042	266.5579898
1043	266.4533102
1044	266.2548469
1045	266.0717323
1046	266.0534905
1047	265.983918
1048	265.9574649
1049	265.9283034
1050	265.7492719
1051	265.6050508
1052	265.3991459
1053	265.2815701
1054	265.0528403
1055	264.9464245
1056	264.7483107
1057	264.691899
1058	264.6128009
1059	264.5127256
1060	264.4458404
1061	264.4015365
1062	264.2155362
1063	264.1158239
1064	264.0664748
1065	263.908983
1066	263.7723981
1067	263.5760413
1068	263.5432653
1069	263.3505346
1070	263.2762783
1071	263.2440956
1072	263.149831
1073	263.0801987
1074	262.8864578
1075	262.8230242
1076	262.7678554
1077	262.6995098
1078	262.6035094
1079	262.5492109
1080	262.523441
1081	262.4889497
1082	262.4252306
1083	262.3375424
1084	262.064971
1085	262.0165463
1086	261.999534
1087	261.7672853
1088	261.6567895
1089	261.4060773
1090	261.2848923
1091	261.2602715
1092	261.1226231
1093	261.04944
1094	261.0146198
1095	260.7758156
1096	260.6430641
1097	260.6059316
1098	260.3955594
1099	260.2469054
1100	260.2239352
1101	260.1949592
1102	260.0528275
1103	259.9377769
1104	259.9102211
1105	259.8395205
1106	259.7880524
1107	259.7829351
1108	259.75724
1109	259.6589721
1110	259.5723274
1111	259.5295849
1112	259.4944634
1113	259.4298818
1114	259.4022292
1115	259.3111187
1116	259.235466
1117	259.2104298
1118	259.0923464
1119	259.0412557
1120	258.7933802
1121	258.7471721
1122	258.5502349
1123	258.5064547
1124	258.4381428
1125	258.3274406
1126	258.3059175
1127	258.2901255
1128	258.2315551
1129	258.2004541
1130	257.9922329
1131	257.9087969
1132	257.8871825
1133	257.7449246
1134	257.6028077
1135	257.4675111
1136	257.3231758
1137	257.299043
1138	257.1792621
1139	257.0438411
1140	257.0119007
1141	256.8391331
1142	256.6125463
1143	256.3698126
1144	256.2022919
1145	256.0604632
1146	255.9641009
1147	255.8767482
1148	255.7492099
1149	255.6535848
1150	255.5117072
1151	255.3284287
1152	255.1660774
1153	255.1391784
1154	255.005656
1155	254.9772625
1156	254.8187148
1157	254.7403936
1158	254.6520062
1159	254.5930105
1160	254.4150969
1161	254.2375269
1162	254.0591328
1163	254.0293224
1164	253.9959243
1165	253.8617793
1166	253.7660428
1167	253.7379703
1168	253.677946
1169	253.663175
1170	253.5406804
1171	253.517872
1172	253.5133796
1173	253.4802158
1174	253.3499622
1175	253.1827421
1176	253.0621112
1177	252.9730494
1178	252.832754
1179	252.7898979
1180	252.7610241
1181	252.5953512
1182	252.5620654
1183	252.5487607
1184	252.4899245
1185	252.32418
1186	252.1930626
1187	252.1656286
1188	252.087523
1189	251.9754381
1190	251.8267496
1191	251.641819
1192	251.5318383
1193	251.3729666
1194	251.3519654
1195	251.3218605
1196	251.2958923
1197	251.2715189
1198	251.2186157
1199	251.1889158
1200	251.0636741
1201	251.0394391
1202	250.9177595
1203	250.7044148
1204	250.5944374
1205	250.5365095
1206	250.463916
1207	250.3458073
1208	250.3299571
1209	250.2921595
1210	250.2700562
1211	250.2244433
1212	250.2038879
1213	250.1821288
1214	250.1223501
1215	250.0339183
1216	249.9176446
1217	249.8642008
1218	249.8028413
1219	249.7577213
1220	249.5910531
1221	249.5373543
1222	249.4642653
1223	249.4253055
1224	249.3109031
1225	249.2547387
1226	249.1658136
1227	249.1445247
1228	249.0252226
1229	248.9125862
1230	248.7868542
1231	248.6673777
1232	248.6401598
1233	248.5695616
1234	248.4021448
1235	248.3197875
1236	248.1477971
1237	248.1237171
1238	248.0389758
1239	247.9371578
1240	247.9222824
1241	247.8954665
1242	247.7539093
1243	247.5820028
1244	247.5602747
1245	247.4814769
1246	247.3369205
1247	247.3240027
1248	247.2803682
1249	247.2503804
1250	247.2150501
1251	247.0612227
1252	247.0370144
1253	246.9011112
1254	246.7616076
1255	246.6944923
1256	246.6677892
1257	246.5729921
1258	246.544812
1259	246.4680732
1260	246.3234829
1261	246.1578925
1262	246.035658
1263	245.877556
1264	245.7461858
1265	245.7076946
1266	245.6249569
1267	245.597021
1268	245.4386819
1269	245.3547752
1270	245.2285213
1271	245.1209389
1272	245.0409652
1273	244.9171842
1274	244.8513374
1275	244.7828781
1276	244.7339572
1277	244.6710976
1278	244.6293115
1279	244.6050297
1280	244.5531956
1281	244.4810632
1282	244.3800298
1283	244.2870454
1284	244.2133956
1285	244.0975217
1286	244.0271665
1287	243.9488746
1288	243.9318698
1289	243.9047039
1290	243.7956977
1291	243.678269
1292	243.6542964
1293	243.523041
1294	243.4719102
1295	243.3685887
1296	243.300064
1297	243.1930673
1298	243.0686304
1299	242.9041957
1300	242.8627728
1301	242.8411881
1302	242.8126339
1303	242.7873441
1304	242.7266487
1305	242.6261572
1306	242.5792702
1307	242.557145
1308	242.4664534
1309	242.4416094
1310	242.3132682
1311	242.1757172
1312	242.1034812
1313	242.084115
1314	242.0191347
1315	241.9292756
1316	241.8344385
1317	241.7772358
1318	241.7421907
1319	241.7102393
1320	241.6714802
1321	241.548502
1322	241.5163946
1323	241.4898996
1324	241.3817951
1325	241.3585672
1326	241.2162309
1327	241.1751237
1328	241.0669086
1329	240.9662052
1330	240.8731467
1331	240.8486253
1332	240.7982044
