iter	Passed	Remaining
0	1	2126
1	2	2092
2	3	1850
3	4	1720
4	5	1648
5	6	1601
6	7	1507
7	7	1479
8	8	1467
9	9	1455
10	10	1451
11	12	1522
12	13	1545
13	14	1568
14	15	1555
15	16	1566
16	17	1549
17	18	1540
18	20	1558
19	20	1553
20	21	1543
21	22	1532
22	23	1522
23	24	1511
24	25	1506
25	26	1499
26	27	1497
27	28	1491
28	29	1487
29	30	1485
30	31	1480
31	33	1529
32	34	1524
33	35	1519
34	36	1510
35	37	1506
36	37	1500
37	38	1496
38	39	1491
39	40	1486
40	41	1483
41	42	1480
42	43	1476
43	44	1472
44	45	1471
45	46	1468
46	48	1498
47	49	1493
48	50	1487
49	51	1485
50	52	1480
51	53	1475
52	54	1485
53	55	1482
54	56	1478
55	57	1475
56	58	1472
57	59	1475
58	60	1484
59	61	1481
60	63	1488
61	64	1485
62	65	1483
63	65	1480
64	66	1478
65	67	1476
66	68	1472
67	69	1467
68	70	1464
69	71	1461
70	72	1458
71	73	1458
72	75	1482
73	76	1480
74	78	1489
75	79	1487
76	80	1484
77	81	1479
78	82	1475
79	82	1471
80	83	1468
81	84	1466
82	85	1463
83	86	1460
84	87	1458
85	88	1457
86	90	1469
87	93	1504
88	94	1503
89	95	1498
90	97	1506
91	98	1503
92	99	1500
93	100	1497
94	101	1493
95	101	1489
96	102	1489
97	104	1488
98	104	1484
99	105	1482
100	106	1480
101	107	1477
102	109	1491
103	111	1491
104	112	1494
105	113	1496
106	115	1497
107	116	1500
108	117	1498
109	118	1502
110	119	1499
111	120	1496
112	121	1493
113	122	1486
114	123	1483
115	124	1490
116	125	1487
117	126	1484
118	127	1481
119	128	1479
120	129	1477
121	130	1475
122	131	1473
123	132	1470
124	133	1468
125	134	1467
126	135	1468
127	137	1471
128	138	1475
129	139	1474
130	140	1471
131	141	1470
132	143	1470
133	144	1468
134	144	1465
135	145	1462
136	146	1460
137	147	1457
138	148	1455
139	149	1453
140	150	1451
141	151	1449
142	152	1446
143	153	1443
144	155	1449
145	155	1446
146	156	1444
147	157	1441
148	158	1439
149	159	1439
150	160	1437
151	162	1436
152	162	1434
153	163	1429
154	164	1427
155	165	1427
156	167	1428
157	168	1428
158	169	1429
159	170	1427
160	171	1424
161	172	1423
162	173	1421
163	174	1419
164	175	1418
165	176	1416
166	177	1414
167	178	1413
168	179	1414
169	181	1416
170	182	1415
171	183	1414
172	186	1428
173	187	1426
174	188	1423
175	188	1421
176	189	1419
177	190	1417
178	191	1415
179	192	1413
180	193	1411
181	194	1409
182	195	1407
183	196	1404
184	197	1402
185	198	1401
186	200	1405
187	201	1405
188	202	1406
189	203	1405
190	204	1403
