price,beds,baths,sqft,pets,Kitchen,Features,Unique,Parking,term_length,latitude,longitude,postal_code,link
"$1,455+",1–3 Beds,1 Bath,,Cats OK,Dishwasher,,"Dryer, Heating: Gas, On-Site Management, Pet Friendly, Washer",,12-Month,42.017309,-87.6818,60645,https://www.apartmentguide.com/a/7444-N-Seeley-Chicago-IL-6003150/
"$2,600+",1–2 Beds,1–2 Baths,"675-1,295 Sqft","Dogs OK, Cats OK","Dishwasher, Microwave, Refrigerator","Office Center/Conference Room, Elevator, Gym","2 Blocks from Metra Train, A Green Roof for a Healthy City, AcceptsCreditCardPayments, AcceptsElectronicPayments, Additional Storage, Availability 24 Hours, Bicycle storage, Cable, Courtyard, Disposal, Dryer, Exterior Type: Conventional, Free Weights, FreewayAccess, Gated Entry, Granite Countertops, HardwoodFloor, High-speed Internet Ready, Individual Climate Control, Kevo & Nest Smart Homes, Large Closets, On-Site Maintenance, On-Site Management, Package Receiving, Pet Friendly, PetCare, PetScreening, PetsAllowed, Pool, Private Balcony, Private Patio, Range, Sundeck, TileFloors, Transportation, Unique Design Style, Washer, Wheel Chair, Window Coverings",Garage,12-Month,41.855907,-87.62507,60616,https://www.apartmentguide.com/a/Arrive-South-Loop-Chicago-IL-5895181/
"$1,395+",Studio,1 Bath,,Cats OK,"Dishwasher, Microwave, Refrigerator","Elevator, Gym","Availability 24 Hours, Bicycle storage, Brand New Units, Ceiling Fan, Freezer, Heat, High-speed Internet Ready, Intercom system, Laundry, New Appliances, Online Maintenance Portal, Online Rent Payment, Oven, Pet Friendly, Range, Rooftop Deck, Spacious Closets, View Type: City",,12-Month,41.901694,-87.63034,60610,https://www.apartmentguide.com/a/1036-N-Dearborn-Chicago-IL-5909882/
"$1,445+",Studio–1 Beds,1 Bath,10 Sqft,Cats OK,"Dishwasher, Microwave, Refrigerator","Office Center/Conference Room, Gym","Additional Storage, Bicycle storage, Ceiling Fan, Gazebo, Heating: Gas, Heating: Heat pump, High-speed Internet Ready, Laundry, Library, New bathroom new floor, Package Receiving, Pet Friendly, Range, Tile Flooring, Trash Compactor",,12-Month,41.902461,-87.62952,60610,https://www.apartmentguide.com/a/Dearborn-North-Chicago-IL-5930504/
"$1,525+",1–3 Beds,1–2 Baths,"659-1,248 Sqft","Dogs OK, Cats OK","Dishwasher, Microwave, Refrigerator",Elevator,"Availability 24 Hours, Bicycle storage, Carpeting (select apartments), Ceiling Fan, Disposal, Furnished, Historic Building, Large Closets, Laundry, On-Site Maintenance, Pet Friendly, Range, Recycling, Resident Keychain Program, TV Lounge, Transportation, Window Coverings",,12-Month,41.802219,-87.5923,60615,https://www.apartmentguide.com/a/Ivy-At-Fairfax-Chicago-IL-5918352/
"$1,100+",Studio–1 Beds,1 Bath,600-675 Sqft,,Refrigerator,,Range Oven,,12-Month,41.760083,-87.63403,60621,https://www.apartmentguide.com/a/348-74th-St-Chicago-IL-5922377/
"$1,800+",1–4 Beds,1–3 Baths,"585-1,823 Sqft","Dogs OK, Cats OK","Dishwasher, Microwave, Refrigerator",Gym,"2 full baths, 2nd floor, Availability 24 Hours, Barbecue Area, Bathroom with window, Bicycle storage, Brand New, Brand New Modern, Breakfast bar, Breakfast bar for 4 bar stools, Ceiling Fan, Convection Oven, Custom Window Shades, Designer finishes, Disposal, Dryer, Duplex, First to Live in, Front Facing, Galley Kitchen, Heating: Electric, High quality European Tilt/Turn Windows, High-speed Internet Ready, Intercom system, Italian Quartz Countertops, Kitchen Island, Luxurious quartz countertops, Luxury soft close cabinetry, Modern, Natural Sunlight, North and South facing, Open Concept, Oven, Oversized triple pane European windows, Pantry, Pet Friendly, Premium Double Paned Windows, Queen Sized Bedrooms, Range, South facing, Split Floorplan, Transportation, Undermount Lighting, Washer",,12-Month,42.011062,-87.66443,60626,https://www.apartmentguide.com/a/Estes-Point-At-The-Park-Chicago-IL-6043562/
"$1,750+",Studio–1 Beds,1–6.5 Baths,408-792 Sqft,"Dogs OK, Cats OK",,"Elevator, Gym","Bicycle storage, Cardio & Strength Training, Community Wifi, Custom Cabinetry, Dryer, Elevators, Floor-To-Ceiling Windows, Glass-Enclosed Rain Shower, Intercom system, Kitchen Island, On-Site Management, Package Receiving, Pet Friendly, Pet-Friendly And Pet Run, Pool, Roof Decks, Subway Tile Backsplash, TV Lounge, Washer, Wheel Chair, Wi-Fi",,12-Month,41.975083,-87.659,60640,https://www.apartmentguide.com/a/The-Sally-Chicago-IL-5906780/
"$2,683",2 Beds,1 Bath,830 Sqft,"Dogs OK, Cats OK","Dishwasher, Microwave, Refrigerator, Stainless Steel Appliances","Elevator, Gym, Rec Room","Availability 24 Hours, Bicycle storage, Cable, Close to Lake Shore Drive,I-55,I-94,I-90, Close to Top Universities, Contemporary Tile Backsplash, Designer Plank Flooring, Expansive Windows w/Designer Shades, Free Weights, Garage Detached, Granite Countertops, Hot South Loop Neighborhood, Laundry, Maple Kitchen Cabinets, Minutes from Downtown, Modern Bathroom Vanity, Near McCormick Place & Soldier Field, Near Museum Campus, Off Street, On CTA Bus Line & Near ""L"" Stop, On-Site Maintenance, On-Site Management, Package Receiving, Party Room, Pet Friendly, Play Ground, Range, Recycling, Transportation, Walk-in Closet, Wheel Chair, Window Coverings",Garage,12-Month,41.853783,-87.62338,60616,https://www.apartmentguide.com/a/2101-Michigan-Chicago-IL-5970209/
"$2,525+",2–4 Beds,2–3 Baths,"1,010-1,853 Sqft","Dogs OK, Cats OK",,Gym,"Co-Working Space, Dryer, Dual Sink Vanity in Primary Bathroom *In Select Homes, Exterior Type: Conventional, Flooring: Wood, Full Stainless-steel Kitchen Appliance Suite, Gated Entry, High Ceilings, Large Entertainer's Kitchen Island *In Select Homes, Large Kitchen Island with Overhang for Seating, Large Primary Ensuite Bedroom, Lighted Walking Paths, Open Green Spaces, Oversized Windows, Pet Friendly, PetsAllowed, Play Ground, Private Balcony, Separate Glass Enclosed Walk-in Shower *In Select Homes, Soaking Tub *In Select Homes, Sports Field, Washer",,12-Month,41.919536,-87.79004,60707,https://www.apartmentguide.com/a/North-Oak-Lofts-Chicago-IL-6083649/
